%
% Comments go after a '%' sign.
%
%
% Relation: selected_cs100
%
%
% Attributes: 100     Instances: 224
%
%

@relation selected_cs100

@attribute 'n paz195' numeric
@attribute 'n paz22' numeric
@attribute 'n m014' numeric
@attribute 'n paz264' numeric
@attribute 'n paz237' numeric
@attribute 'n paz219' numeric
@attribute 'n Action5' numeric
@attribute 'n paz52' numeric
@attribute 'n paz246' numeric
@attribute 'n paz114' numeric
@attribute 'n paz80' numeric
@attribute 'n paz50' numeric
@attribute 'n paz198' numeric
@attribute 'n Action6' numeric
@attribute 'n paz5' numeric
@attribute 'n paz137' numeric
@attribute 'n paz59' numeric
@attribute 'n m029' numeric
@attribute 'n paz199' numeric
@attribute 'n Task1' numeric
@attribute 'n paz81' numeric
@attribute 'n m027' numeric
@attribute 'n paz242' numeric
@attribute 'n paz135' numeric
@attribute 'n paz241' numeric
@attribute 'n Task3' numeric
@attribute 'n m005' numeric
@attribute 'n paz223' numeric
@attribute 'n paz97' numeric
@attribute 'n paz48' numeric
@attribute 'n Task4' numeric
@attribute 'n m002' numeric
@attribute 'n paz112' numeric
@attribute 'n m003' numeric
@attribute 'n paz73' numeric
@attribute 'n d008' numeric
@attribute 'n Task10' numeric
@attribute 'time (s) Activity12' numeric
@attribute 'n d002' numeric
@attribute 'n m020' numeric
@attribute 'n m036' numeric
@attribute 'n Task2' numeric
@attribute 'n paz173' numeric
@attribute 'n m030' numeric
@attribute 'n paz196' numeric
@attribute 'n m016' numeric
@attribute 'n m041' numeric
@attribute 'n paz136' numeric
@attribute 'n m001' numeric
@attribute 'n m031' numeric
@attribute 'time (s) Activity3' numeric
@attribute 'n paz268' numeric
@attribute 'n paz7' numeric
@attribute 'n m023' numeric
@attribute 'n paz68' numeric
@attribute 'n m015' numeric
@attribute 'n paz62' numeric
@attribute 'n paz29' numeric
@attribute 'n m051' numeric
@attribute 'n m040' numeric
@attribute 'n paz132' numeric
@attribute 'n d007' numeric
@attribute 'n m010' numeric
@attribute 'n paz109' numeric
@attribute 'avg t001' numeric
@attribute 'n Action11' numeric
@attribute 'n Action9' numeric
@attribute 'n paz115' numeric
@attribute 'n Task12' numeric
@attribute 'n m032' numeric
@attribute 'n Task11' numeric
@attribute 'n m052' numeric
@attribute 'n paz221' numeric
@attribute 'time (s) Activity13' numeric
@attribute 'avg t003' numeric
@attribute 'n paz204' numeric
@attribute 'n m044' numeric
@attribute 'n Action12' numeric
@attribute 'n m034' numeric
@attribute 'n d001' numeric
@attribute 'n Task13' numeric
@attribute 'n m037' numeric
@attribute 'avg t002' numeric
@attribute 'n m039' numeric
@attribute 'n m050' numeric
@attribute 'avg t005' numeric
@attribute 'n m038' numeric
@attribute 'n paz233' numeric
@attribute 'n m046' numeric
@attribute 'n paz14' numeric
@attribute 'avg t004' numeric
@attribute 'n m035' numeric
@attribute 'n paz39' numeric
@attribute 'n d009' numeric
@attribute 'n m047' numeric
@attribute 'n m033' numeric
@attribute 'n m048' numeric
@attribute 'n m049' numeric
@attribute 'act Consumption' numeric
@attribute 'avg Consumption' numeric

@data
0,0,250,0,0,0,157,0,0,0,0,0,0,8,0,0,0,12,0,24,0,26,0,0,0,42,13,0,0,0,55,37,0,2,0,0,1,304,0,4,0,33,0,0,0,185,0,0,101,0,272,0,0,93,0,131,0,0,31,0,0,17,22,0,24.95833333333333,1,17,0,2,0,2,0,0,277,24.72222222222222,0,0,10,0,0,1,0,28.11111111111111,0,0,25.09722222222222,0,0,0,0,24.77777777777778,0,0,8,0,0,0,0,1753.0573248407643,2892.235294117647
0,0,132,0,0,0,136,0,0,0,0,0,0,8,0,0,0,20,0,16,0,26,0,0,0,28,2,0,0,0,36,44,0,6,0,0,2,272,0,0,0,18,0,0,0,98,14,0,66,0,215,0,0,56,0,96,0,0,28,10,0,20,40,0,24.75,0,10,0,0,0,0,400,0,243,25.0,0,6,6,0,6,0,18,29.4,12,4,26.95,22,0,0,0,25.5,0,0,6,0,0,0,0,1583.1234939759036,1960.1015625
0,0,146,0,0,0,84,0,0,0,0,0,0,3,0,0,0,10,0,15,0,20,0,0,0,20,6,0,0,0,18,20,0,4,0,0,2,127,0,0,0,19,0,0,0,104,0,0,66,0,182,0,0,70,0,92,0,0,50,0,0,33,32,0,24.761904761904763,0,10,0,3,0,2,342,0,148,20.25,0,0,5,0,0,1,0,27.314814814814813,0,0,23.357142857142858,0,0,0,0,21.77777777777778,0,0,6,0,0,0,0,2122.410391822828,2311.4773109243697
0,0,166,0,0,0,117,0,0,0,0,0,0,2,0,0,0,16,0,18,0,18,0,0,0,35,8,0,0,0,26,48,0,18,0,0,1,275,0,0,0,18,0,0,0,198,8,0,114,0,199,0,0,130,0,148,0,0,42,4,0,22,116,0,21.25,1,11,0,1,0,2,590,0,248,20.25,0,0,11,0,0,1,4,24.58333333333333,8,0,23.95,6,0,0,0,21.25,0,0,16,0,0,0,0,2200.315476190476,1838.7256410256407
0,0,175,0,0,0,137,0,0,0,0,0,0,6,1,0,0,32,0,23,0,60,0,0,0,34,0,0,0,0,34,44,0,8,0,2,2,189,0,0,2,30,0,2,0,168,18,0,144,2,145,0,0,128,0,139,0,0,22,14,0,28,6,0,21.75,1,21,0,1,0,1,344,0,131,20.25,0,0,7,0,12,1,12,26.11111111111111,16,0,22.13636363636364,18,0,0,0,21.75,0,0,14,0,0,0,0,1616.4758349705305,365.4098901098901
0,0,114,0,0,0,137,0,0,0,0,0,0,13,0,0,0,10,0,27,0,44,0,0,0,39,10,0,0,0,36,40,0,10,0,0,1,291,0,8,0,29,0,0,0,171,0,0,102,0,309,0,0,86,0,121,0,0,40,0,0,34,108,0,22.166666666666668,1,8,0,2,0,6,0,0,253,20.25,0,0,7,0,2,1,0,27.454545454545453,0,0,22.25,0,0,0,0,21.666666666666668,0,0,0,0,0,0,0,2695.7208494208494,1285.076923076923
0,0,134,0,0,0,126,0,0,0,0,0,0,11,0,0,0,22,0,24,0,34,0,0,0,25,6,0,0,0,29,42,0,18,0,0,1,296,0,6,0,29,0,0,0,152,10,0,82,0,432,0,1,90,0,132,0,0,18,10,0,46,86,0,22.166666666666668,0,5,0,2,0,4,82,0,276,20.25,0,0,5,0,4,1,14,27.454545454545453,10,0,22.25,18,0,0,0,21.666666666666668,0,0,0,0,0,0,0,2938.1291750503024,3897.3870967741937
0,0,124,0,0,0,113,0,0,0,0,0,0,4,0,0,0,22,0,23,0,26,0,0,0,34,4,0,0,0,18,40,0,12,0,0,2,309,0,0,0,24,0,0,0,134,12,0,78,0,199,0,0,76,0,110,0,0,22,9,0,31,76,0,22.5,1,13,0,2,0,3,560,0,143,23.25,0,0,10,0,4,1,9,27.09090909090909,9,0,25.0,17,0,0,0,22.2,0,0,12,0,0,0,0,1980.8618784530383,551.7692307692307
0,0,174,0,0,0,98,0,0,0,0,0,0,14,0,0,0,26,0,19,0,38,0,0,0,39,4,0,0,0,20,60,0,18,0,0,1,124,0,0,0,26,0,0,0,135,10,0,70,0,225,0,0,62,0,108,0,0,30,8,0,30,84,0,21.928571428571427,1,0,0,1,0,1,484,0,146,22.5,0,0,9,0,2,1,8,26.83333333333333,8,0,24.875,10,0,0,0,23.0,0,0,16,0,0,0,0,1297.081081081081,1828.5744680851064
0,0,108,0,0,0,144,0,0,0,0,0,0,5,0,0,0,20,0,29,0,20,0,0,0,28,22,0,0,0,48,50,0,6,0,0,1,189,0,0,0,28,0,0,0,186,16,0,90,0,349,0,0,90,0,136,0,0,50,8,0,28,110,0,21.928571428571427,1,3,0,2,0,3,0,0,233,22.5,0,0,6,0,0,1,18,26.83333333333333,8,0,24.875,18,0,0,0,23.0,0,0,0,0,0,0,0,3094.4340996168585,1196.2222222222222
