%
% Comments go after a '%' sign.
%
%
% Relation: selected_fe300
%
%
% Attributes: 300     Instances: 148
%
%

@relation selected_fe300

@attribute 'Time' numeric
@attribute 'avg t001' numeric
@attribute 'avg t002' numeric
@attribute 'avg t003' numeric
@attribute 'avg t004' numeric
@attribute 'avg t005' numeric
@attribute 'time (s) Activity1' numeric
@attribute 'time (s) Activity2' numeric
@attribute 'time (s) Activity3' numeric
@attribute 'time (s) Activity4' numeric
@attribute 'time (s) Activity5' numeric
@attribute 'time (s) Activity6' numeric
@attribute 'time (s) Activity7' numeric
@attribute 'time (s) Activity8' numeric
@attribute 'time (s) Activity9' numeric
@attribute 'time (s) Activity10' numeric
@attribute 'time (s) Activity11' numeric
@attribute 'time (s) Activity12' numeric
@attribute 'time (s) Activity13' numeric
@attribute 'time (s) Activity14' numeric
@attribute 'time (s) Activity15' numeric
@attribute 'time (s) Activity16' numeric
@attribute 'n m001' numeric
@attribute 'n m002' numeric
@attribute 'n m003' numeric
@attribute 'n m004' numeric
@attribute 'n m005' numeric
@attribute 'n m006' numeric
@attribute 'n m007' numeric
@attribute 'n m008' numeric
@attribute 'n m009' numeric
@attribute 'n m010' numeric
@attribute 'n m011' numeric
@attribute 'n m012' numeric
@attribute 'n m013' numeric
@attribute 'n m014' numeric
@attribute 'n m015' numeric
@attribute 'n m016' numeric
@attribute 'n m017' numeric
@attribute 'n m018' numeric
@attribute 'n m019' numeric
@attribute 'n m020' numeric
@attribute 'n m021' numeric
@attribute 'n m022' numeric
@attribute 'n m023' numeric
@attribute 'n m024' numeric
@attribute 'n m025' numeric
@attribute 'n m026' numeric
@attribute 'n m027' numeric
@attribute 'n m028' numeric
@attribute 'n m029' numeric
@attribute 'n m030' numeric
@attribute 'n m031' numeric
@attribute 'n m032' numeric
@attribute 'n m033' numeric
@attribute 'n m034' numeric
@attribute 'n m035' numeric
@attribute 'n m036' numeric
@attribute 'n m037' numeric
@attribute 'n m038' numeric
@attribute 'n m039' numeric
@attribute 'n m040' numeric
@attribute 'n m041' numeric
@attribute 'n m042' numeric
@attribute 'n m043' numeric
@attribute 'n m044' numeric
@attribute 'n m045' numeric
@attribute 'n m046' numeric
@attribute 'n m047' numeric
@attribute 'n m048' numeric
@attribute 'n m049' numeric
@attribute 'n m050' numeric
@attribute 'n m051' numeric
@attribute 'n m052' numeric
@attribute 'n d001' numeric
@attribute 'n d002' numeric
@attribute 'n d003' numeric
@attribute 'n d004' numeric
@attribute 'n d005' numeric
@attribute 'n d006' numeric
@attribute 'n d007' numeric
@attribute 'n d008' numeric
@attribute 'n d009' numeric
@attribute 'n d010' numeric
@attribute 'n d011' numeric
@attribute 'n d012' numeric
@attribute 'n d013' numeric
@attribute 'n d014' numeric
@attribute 'n d015' numeric
@attribute 'n Task1' numeric
@attribute 'n Task2' numeric
@attribute 'n Task3' numeric
@attribute 'n Task4' numeric
@attribute 'n Task5' numeric
@attribute 'n Task6' numeric
@attribute 'n Task7' numeric
@attribute 'n Task8' numeric
@attribute 'n Task9' numeric
@attribute 'n Task10' numeric
@attribute 'n Task11' numeric
@attribute 'n Task12' numeric
@attribute 'n Task13' numeric
@attribute 'n Action1' numeric
@attribute 'n Action5' numeric
@attribute 'n Action6' numeric
@attribute 'n Action7' numeric
@attribute 'n Action8' numeric
@attribute 'n Action9' numeric
@attribute 'n Action10' numeric
@attribute 'n Action11' numeric
@attribute 'n Action12' numeric
@attribute 'n paz1' numeric
@attribute 'n paz2' numeric
@attribute 'n paz3' numeric
@attribute 'n paz4' numeric
@attribute 'n paz5' numeric
@attribute 'n paz7' numeric
@attribute 'n paz8' numeric
@attribute 'n paz9' numeric
@attribute 'n paz11' numeric
@attribute 'n paz14' numeric
@attribute 'n paz18' numeric
@attribute 'n paz19' numeric
@attribute 'n paz20' numeric
@attribute 'n paz21' numeric
@attribute 'n paz22' numeric
@attribute 'n paz23' numeric
@attribute 'n paz24' numeric
@attribute 'n paz25' numeric
@attribute 'n paz26' numeric
@attribute 'n paz29' numeric
@attribute 'n paz33' numeric
@attribute 'n paz34' numeric
@attribute 'n paz35' numeric
@attribute 'n paz39' numeric
@attribute 'n paz40' numeric
@attribute 'n paz42' numeric
@attribute 'n paz43' numeric
@attribute 'n paz44' numeric
@attribute 'n paz45' numeric
@attribute 'n paz49' numeric
@attribute 'n paz50' numeric
@attribute 'n paz52' numeric
@attribute 'n paz54' numeric
@attribute 'n paz56' numeric
@attribute 'n paz57' numeric
@attribute 'n paz58' numeric
@attribute 'n paz60' numeric
@attribute 'n paz62' numeric
@attribute 'n paz63' numeric
@attribute 'n paz66' numeric
@attribute 'n paz67' numeric
@attribute 'n paz68' numeric
@attribute 'n paz70' numeric
@attribute 'n paz71' numeric
@attribute 'n paz72' numeric
@attribute 'n paz73' numeric
@attribute 'n paz74' numeric
@attribute 'n paz75' numeric
@attribute 'n paz77' numeric
@attribute 'n paz78' numeric
@attribute 'n paz79' numeric
@attribute 'n paz82' numeric
@attribute 'n paz85' numeric
@attribute 'n paz86' numeric
@attribute 'n paz88' numeric
@attribute 'n paz89' numeric
@attribute 'n paz91' numeric
@attribute 'n paz92' numeric
@attribute 'n paz93' numeric
@attribute 'n paz94' numeric
@attribute 'n paz96' numeric
@attribute 'n paz97' numeric
@attribute 'n paz98' numeric
@attribute 'n paz99' numeric
@attribute 'n paz100' numeric
@attribute 'n paz101' numeric
@attribute 'n paz102' numeric
@attribute 'n paz103' numeric
@attribute 'n paz105' numeric
@attribute 'n paz106' numeric
@attribute 'n paz107' numeric
@attribute 'n paz108' numeric
@attribute 'n paz111' numeric
@attribute 'n paz112' numeric
@attribute 'n paz115' numeric
@attribute 'n paz116' numeric
@attribute 'n paz117' numeric
@attribute 'n paz118' numeric
@attribute 'n paz122' numeric
@attribute 'n paz124' numeric
@attribute 'n paz125' numeric
@attribute 'n paz128' numeric
@attribute 'n paz130' numeric
@attribute 'n paz131' numeric
@attribute 'n paz132' numeric
@attribute 'n paz134' numeric
@attribute 'n paz135' numeric
@attribute 'n paz136' numeric
@attribute 'n paz138' numeric
@attribute 'n paz139' numeric
@attribute 'n paz140' numeric
@attribute 'n paz145' numeric
@attribute 'n paz147' numeric
@attribute 'n paz149' numeric
@attribute 'n paz150' numeric
@attribute 'n paz152' numeric
@attribute 'n paz154' numeric
@attribute 'n paz155' numeric
@attribute 'n paz156' numeric
@attribute 'n paz157' numeric
@attribute 'n paz158' numeric
@attribute 'n paz159' numeric
@attribute 'n paz160' numeric
@attribute 'n paz161' numeric
@attribute 'n paz162' numeric
@attribute 'n paz163' numeric
@attribute 'n paz165' numeric
@attribute 'n paz166' numeric
@attribute 'n paz169' numeric
@attribute 'n paz170' numeric
@attribute 'n paz173' numeric
@attribute 'n paz175' numeric
@attribute 'n paz178' numeric
@attribute 'n paz179' numeric
@attribute 'n paz181' numeric
@attribute 'n paz184' numeric
@attribute 'n paz185' numeric
@attribute 'n paz188' numeric
@attribute 'n paz191' numeric
@attribute 'n paz194' numeric
@attribute 'n paz196' numeric
@attribute 'n paz197' numeric
@attribute 'n paz198' numeric
@attribute 'n paz199' numeric
@attribute 'n paz200' numeric
@attribute 'n paz201' numeric
@attribute 'n paz202' numeric
@attribute 'n paz203' numeric
@attribute 'n paz204' numeric
@attribute 'n paz205' numeric
@attribute 'n paz207' numeric
@attribute 'n paz208' numeric
@attribute 'n paz209' numeric
@attribute 'n paz210' numeric
@attribute 'n paz211' numeric
@attribute 'n paz212' numeric
@attribute 'n paz213' numeric
@attribute 'n paz214' numeric
@attribute 'n paz215' numeric
@attribute 'n paz216' numeric
@attribute 'n paz217' numeric
@attribute 'n paz218' numeric
@attribute 'n paz219' numeric
@attribute 'n paz220' numeric
@attribute 'n paz221' numeric
@attribute 'n paz222' numeric
@attribute 'n paz223' numeric
@attribute 'n paz224' numeric
@attribute 'n paz225' numeric
@attribute 'n paz226' numeric
@attribute 'n paz227' numeric
@attribute 'n paz228' numeric
@attribute 'n paz229' numeric
@attribute 'n paz231' numeric
@attribute 'n paz232' numeric
@attribute 'n paz235' numeric
@attribute 'n paz237' numeric
@attribute 'n paz241' numeric
@attribute 'n paz242' numeric
@attribute 'n paz243' numeric
@attribute 'n paz247' numeric
@attribute 'n paz249' numeric
@attribute 'n paz250' numeric
@attribute 'n paz251' numeric
@attribute 'n paz252' numeric
@attribute 'n paz253' numeric
@attribute 'n paz254' numeric
@attribute 'n paz255' numeric
@attribute 'n paz256' numeric
@attribute 'n paz257' numeric
@attribute 'n paz258' numeric
@attribute 'n paz259' numeric
@attribute 'n paz260' numeric
@attribute 'n paz261' numeric
@attribute 'n paz262' numeric
@attribute 'n paz264' numeric
@attribute 'n paz265' numeric
@attribute 'n paz266' numeric
@attribute 'n paz267' numeric
@attribute 'n paz268' numeric
@attribute 'n paz269' numeric
@attribute 'n paz270' numeric
@attribute 'n paz271' numeric
@attribute 'n paz272' numeric
@attribute 'n paz273' numeric
@attribute 'n paz274' numeric
@attribute 'trend' numeric
@attribute 'act Consumption' numeric
@attribute 'avg Consumption' numeric

@data
690,24.95833333333333,28.11111111111111,24.72222222222222,24.77777777777778,25.09722222222222,301,260,272,419,70,104,499,106,123,56,193,304,277,537,97,66,122,48,2,0,13,46,135,128,126,22,0,0,462,260,139,195,317,140,50,7,62,52,112,49,102,49,28,32,12,0,0,0,0,0,0,0,0,0,0,0,0,34,32,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,18,0,9,4,0,7,0,0,0,24,33,42,55,51,30,8,5,5,1,2,2,1,24,157,8,24,13,17,5,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.525361940596005,2077.603448275862,709.5882352941177
780,24.75,29.4,25.0,25.5,26.95,600,220,215,517,93,213,688,76,145,41,215,272,243,411,142,242,98,50,6,4,2,40,126,108,72,46,8,20,494,144,116,116,220,76,26,0,52,44,82,52,86,52,34,40,26,0,0,0,0,0,0,0,18,22,12,10,14,48,42,6,0,0,0,0,0,4,28,418,6,0,0,4,4,2,24,0,8,0,0,7,0,0,0,16,18,28,36,24,44,23,17,2,2,0,0,0,10,136,8,17,19,10,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.677795781750936,1548.33147632312,2184.544554455445
690,24.761904761904763,27.314814814814813,20.25,21.77777777777778,23.357142857142858,326,145,182,436,44,129,609,64,59,26,149,127,148,420,44,155,73,20,4,2,6,24,100,98,66,32,18,2,304,176,118,133,282,112,54,0,46,28,76,34,70,34,22,28,10,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,52,356,0,0,0,0,0,0,40,0,6,6,0,2,0,0,0,15,19,20,18,11,30,8,5,5,2,2,3,1,10,84,3,16,7,10,4,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.832022682390775,2093.665409836065,2539.425
930,21.25,24.58333333333333,20.25,21.25,23.95,364,153,199,484,71,96,507,22,38,29,198,275,248,382,39,139,124,52,20,4,8,46,146,138,122,128,12,4,366,170,156,204,300,126,56,0,70,76,140,44,74,40,26,28,22,0,0,0,0,0,0,0,4,6,8,4,8,38,36,0,0,0,0,0,0,0,42,632,0,0,0,0,2,0,24,0,16,12,0,12,0,0,0,18,18,35,26,23,40,21,7,3,1,2,1,1,14,117,2,26,9,11,5,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.922781116748981,2172.8735632183907,1917.6757575757576
690,21.75,26.11111111111111,20.25,21.75,22.13636363636364,195,167,145,438,81,127,222,93,104,68,210,189,131,434,90,131,144,44,8,2,0,56,168,172,142,6,4,56,423,175,139,168,278,114,48,0,90,80,128,84,102,60,60,60,32,2,2,0,0,0,0,2,12,18,16,14,18,64,60,0,0,0,0,0,0,0,22,344,12,0,2,0,8,0,28,2,14,10,0,11,2,0,2,23,30,34,34,35,36,18,1,1,2,1,1,1,16,137,6,14,12,21,3,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264641548285929,1568.1358490566038,356.0928571428572
670,22.166666666666668,27.454545454545453,20.25,21.666666666666668,22.25,264,257,432,514,72,0,457,58,120,40,143,296,276,431,101,276,82,42,18,2,6,32,114,106,124,86,8,4,419,134,132,152,288,98,48,6,68,54,90,54,94,60,34,36,22,0,0,0,0,0,0,0,14,18,10,10,10,34,28,0,0,0,0,0,0,0,18,82,4,0,0,0,4,0,46,0,0,0,0,5,0,0,0,24,29,25,29,39,20,13,1,8,1,4,2,1,20,126,11,23,2,5,4,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.276579529378668,2920.9886051080557,4302.1
690,22.5,27.09090909090909,23.25,22.2,25.0,153,200,199,415,72,91,378,63,29,37,152,309,143,531,137,105,100,50,14,2,8,30,130,140,112,76,18,18,354,162,128,154,298,96,32,0,68,48,90,54,80,56,34,40,26,0,0,0,0,0,0,0,12,20,10,10,12,40,36,0,0,0,0,0,0,0,24,576,6,0,0,0,5,0,32,0,12,8,0,12,0,0,0,23,24,34,18,37,31,9,16,8,2,3,2,1,18,113,4,22,24,13,3,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.095965777199865,1923.130548302872,413.1754385964912
930,21.928571428571427,26.83333333333333,22.5,23.0,24.875,132,164,225,477,56,186,253,43,0,36,99,124,146,347,65,240,86,72,20,0,8,34,147,150,178,86,12,24,727,176,114,141,275,79,26,0,62,38,72,52,100,64,42,44,28,0,0,0,0,0,0,0,8,10,8,8,10,54,52,0,0,0,0,0,0,0,30,496,4,0,0,0,2,4,32,0,18,8,0,11,0,2,2,19,26,39,20,55,16,12,1,2,1,1,1,1,12,98,14,51,4,0,5,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.311745812487296,1334.961187214612,1826.746031746032
660,21.928571428571427,26.83333333333333,22.5,23.0,24.875,198,404,173,428,54,127,223,39,63,40,205,153,239,395,95,253,90,54,6,0,2,20,120,106,79,66,4,6,637,125,142,136,244,96,32,6,62,48,86,45,86,60,32,32,12,0,0,0,0,34,4,0,0,0,0,0,0,38,30,0,0,0,0,0,0,0,48,504,1,0,0,0,0,0,44,0,0,0,0,12,0,2,2,16,25,30,18,13,16,11,5,2,1,1,0,0,8,73,4,14,22,6,4,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19338892017223,1549.3556701030927,1399.5
992,22.38235294117647,24.73684210526316,20.666666666666668,22.75,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,18,18,12,0,16,2,0,24,24,8,8,16,24,12,4,4,2,0,4,14,10,66,28,2,0,4,36,12,28,186,94,24,14,18,2,0,10,0,2,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63186971061286,1961.404545454545,6387.963855421687
